Modelo,Ano,Preço,KM,Estado
 Jeep Renegade SPORT ,2017, R$ 70.499 ,75600,São Paulo
 Volkswagen Golf TSI COMFORTLINE ,2015, R$ 72.799 ,95057,São Paulo
 Volkswagen Polo 200 TSI COMFORTLINE ,2018, R$ 71.999 ,74175,São Paulo
 Jeep Compass LONGITUDE ,2018, R$ 104.799 ,72600,São Paulo
 Renault Captur SCE LIFE ,2019, R$ 79.999 ,29758,São Paulo
 Chevrolet Tracker TURBO PREMIER ,2018, R$ 90.799 ,71700,São Paulo
 Jeep Renegade SPORT ,2018, R$ 70.499 ,69140,São Paulo
 Chevrolet Cruze TURBO LTZ ,2017, R$ 86.299 ,62500,São Paulo
 Volkswagen Golf TSI HIGHLINE ,2014, R$ 77.499 ,97115,São Paulo
 Volkswagen Polo 200 TSI COMFORTLINE ,2018, R$ 72.499 ,56220,São Paulo
 Hyundai Creta ATTITUDE ,2018, R$ 83.299 ,58190,São Paulo
 Nissan Kicks START SL ,2017, R$ 81.799 ,88550,São Paulo
 Hyundai ix35 MPI ,2014, R$ 73.999 ,74000,São Paulo
 Peugeot 2008 GRIFFE ,2018, R$ 73.299 ,52020,São Paulo
 Chevrolet Tracker TURBO LTZ ,2017, R$ 88.499 ,42972,São Paulo
 Toyota Corolla GLI ,2017, R$ 83.799 ,49000,São Paulo
 Mercedes Benz A 250 SPORT TURBO ,2017, R$ 153.999 ,84231,São Paulo
 Honda City LX ,2016, R$ 66.499 ,85721,São Paulo
 Volkswagen Crossfox MSI ,2016, R$ 55.299 ,94958,São Paulo
 Ford Eco Sport TITANIUM PLUS ,2014, R$ 53.799 ,111628,São Paulo
 Volkswagen Tiguan 350 TSI ALLSPACE R-LINE ,2019, R$ 201.999 ,42250,São Paulo
 Nissan Kicks START SL ,2017, R$ 82.799 ,60593,São Paulo
 Mercedes Benz C 180 CGI EXCLUSIVE ,2018, R$ 147.499 ,32939,São Paulo
 Peugeot 2008 ALLURE ,2017, R$ 57.999 ,87000,São Paulo
 Honda City EX ,2015, R$ 63.499 ,106550,São Paulo
 Suzuki Vitara 4YOU ,2017, R$ 77.499 ,87070,São Paulo
 Volvo V60 T5 MOMENTUM TURBO ,2016, R$ 99.299 ,90700,São Paulo
 Jeep Renegade SPORT ,2016, R$ 65.799 ,46361,São Paulo
 Ford Focus SE ,2014, R$ 48.799 ,85560,São Paulo
 Hyundai Creta ATTITUDE ,2019, R$ 86.299 ,27310,São Paulo
 Volkswagen Golf TSI HIGHLINE ,2015, R$ 80.299 ,73680,São Paulo
 Audi A3 TFSI SEDAN ATTRACTION ,2015, R$ 73.799 ,104210,São Paulo
 Fiat Toro TURBO DIESEL ULTRA ,2021, R$ 169.799 ,21480,São Paulo
 Volkswagen Polo MSI TOTAL ,2018, R$ 62.499 ,44330,São Paulo
 Chevrolet Prisma MPFI LTZ ,2019, R$ 68.299 ,64220,São Paulo
 Nissan Kicks START SL ,2017, R$ 81.999 ,78040,São Paulo
 Volkswagen Voyage MSI TOTAL COMFORTLINE ,2018, R$ 51.499 ,52621,São Paulo
 Mercedes Benz B 200 TURBO ,2017, R$ 95.299 ,43746,São Paulo
 Hyundai ix35 MPFI GL ,2017, R$ 90.299 ,71880,São Paulo
 Volkswagen Golf TSI HIGHLINE ,2015, R$ 80.299 ,74000,São Paulo
 Volkswagen Golf TSI COMFORTLINE ,2014, R$ 70.499 ,106360,São Paulo
 Mercedes Benz C 180 CGI EXCLUSIVE ,2017, R$ 130.999 ,61281,São Paulo
 Volvo XC60 T5 R DESIGN ,2016, R$ 120.499 ,107710,São Paulo
 Chevrolet Cruze LT ,2014, R$ 52.799 ,98100,São Paulo
 Chevrolet Cruze TURBO LTZ ,2017, R$ 85.499 ,83020,São Paulo
 Renault Captur SCE LIFE ,2019, R$ 79.799 ,39000,São Paulo
 Jeep Compass LIMITED ,2017, R$ 104.499 ,45526,São Paulo
 Hyundai Creta PULSE PLUS ,2018, R$ 88.799 ,50320,São Paulo
 Audi Q3 TFSI AMBIENTE ,2017, R$ 113.799 ,71581,São Paulo
 Land Rover Discovery Sport SD4 TURBO HSE ,2016, R$ 169.799 ,97783,São Paulo
 Jeep Renegade SPORT ,2018, R$ 70.799 ,58090,São Paulo
 Honda Civic LXL ,2011, R$ 47.799 ,105260,São Paulo
 Ford Ka + SIGMA SE ,2015, R$ 40.799 ,93750,São Paulo
 Nissan Kicks START SL ,2017, R$ 81.299 ,97880,São Paulo
 Ford Fusion TITANIUM AWD ,2017, R$ 104.299 ,87600,São Paulo
 Jeep Renegade TURBO LONGITUDE ,2019, R$ 121.799 ,48740,São Paulo
 Chevrolet Tracker TURBO LT ,2018, R$ 83.799 ,46502,São Paulo
 Audi A3 TFSI SEDAN AMBITION ,2015, R$ 87.999 ,104865,São Paulo
 Hyundai Creta PRESTIGE ,2018, R$ 97.299 ,63700,São Paulo
 Volkswagen Golf TSI HIGHLINE ,2015, R$ 79.799 ,94977,São Paulo
 Nissan Kicks START SV ,2018, R$ 83.799 ,50405,São Paulo
 Jeep Renegade TURBO LONGITUDE ,2017, R$ 102.999 ,96750,São Paulo
 Hyundai ix35 MPFI GLS ,2015, R$ 75.999 ,100090,São Paulo
 Volkswagen Golf TSI COMFORTLINE ,2015, R$ 72.799 ,97388,São Paulo
 Volkswagen Tiguan TSI TURBO DSG ,2017, R$ 94.299 ,70587,São Paulo
 Volkswagen Golf TSI VARIANT COMFORTLINE ,2016, R$ 82.799 ,41801,São Paulo
 Land Rover Discovery 4 SE V6 TURBO ,2011, R$ 96.299 ,108365,São Paulo
 Chevrolet S10 LTZ CD ,2019, R$ 144.999 ,49215,São Paulo
 Chevrolet Cruze LT ,2014, R$ 52.499 ,112230,São Paulo
 Volkswagen Passat TSI BLUEMOTION HIGHLINE DSG ,2018, R$ 139.499 ,56000,São Paulo
 Jeep Compass LONGITUDE ,2017, R$ 100.299 ,67200,São Paulo
 Hyundai HB20S PREMIUM ,2016, R$ 61.299 ,105560,São Paulo
 Hyundai Creta SMART ,2020, R$ 92.499 ,17000,São Paulo
 Volkswagen Tiguan TSI TURBO ,2013, R$ 65.799 ,96520,São Paulo
 Fiat Cronos E.TORQ  PRECISION ,2020, R$ 74.499 ,24327,São Paulo
 Hyundai ix35 MPFI GL ,2018, R$ 93.499 ,60120,São Paulo
 Jeep Renegade SPORT ,2016, R$ 67.299 ,91500,São Paulo
 Audi A3 TFSI SEDAN AMBIENTE ,2016, R$ 80.299 ,98531,São Paulo
 Honda Civic TURBO TOURING ,2018, R$ 125.999 ,61636,São Paulo
 Volkswagen Golf TSI HIGHLINE ,2015, R$ 78.999 ,115000,São Paulo
 Jeep Renegade SPORT ,2017, R$ 67.999 ,69822,São Paulo
 Hyundai Creta SPORT ,2018, R$ 91.299 ,58362,São Paulo
 Honda City EX ,2019, R$ 86.999 ,32193,São Paulo
 Mercedes Benz GLC 250 CGI COUPE 4MATIC ,2019, R$ 355.799 ,25036,São Paulo
 Volkswagen Polo MSI TOTAL ,2018, R$ 62.299 ,55413,São Paulo
 Bmw X1 TURBO ACTIVE SDRIVE20I ,2019, R$ 176.299 ,53700,São Paulo
 Renault Duster EXPRESSION ,2017, R$ 64.799 ,67710,São Paulo
 Nissan Kicks START SL ,2018, R$ 86.299 ,44200,São Paulo
 Hyundai HB20X STYLE ,2017, R$ 63.799 ,52004,São Paulo
 Honda Civic ONE EXL ,2017, R$ 101.799 ,61285,São Paulo
 Hyundai Creta SMART ,2020, R$ 92.299 ,23413,São Paulo
 Jeep Renegade LONGITUDE ,2016, R$ 71.499 ,65992,São Paulo
 Jeep Renegade LONGITUDE ,2016, R$ 71.299 ,71431,São Paulo
